env/path/root,env/path/name,env/path/client,env/path/param_csv,model/model,model/conv_type,model/pool_type,model/eblock,model/elayer,model/dblock,model/depth,model/width,model/width_scaling,model/kernel_size,model/strides,model/bneck,model/branches,model/atrous_rate,model/order,model/norm,model/activ,model/attn_msk,model/embed,model/log_loss,model/gamma,model/loss_weights/ctr,model/loss_weights/euc,model/loss_weights/ned,model/loss_weights/cls_anc,model/loss_weights/cls_unk,model/num_params,train/xs/dat,train/ys/lbl/head,train/ys/lbl/n_classes,train/ys/lbl/loss,train/ys/lbl/metric,train/trainer/seed,train/trainer/n_folds,train/trainer/batch_size,train/trainer/iters,train/trainer/steps,train/trainer/valid_freq,train/trainer/lr,train/trainer/lr_alpha,train/trainer/lr_decay,train/trainer/contrastive_scale,train/trainer/callbacks,train/trainer/log_dir,train/trainer/train_time,history/fold/0/epoch,history/fold/0/loss,history/fold/0/cls_anc_loss,history/fold/0/cls_unk_loss,history/fold/0/ctr_loss,history/fold/0/euc_loss,history/fold/0/ned_loss,history/fold/0/cls_anc_binary_accuracy,history/fold/0/cls_unk_binary_accuracy,history/fold/0/val_loss,history/fold/0/val_cls_anc_loss,history/fold/0/val_cls_unk_loss,history/fold/0/val_ctr_loss,history/fold/0/val_euc_loss,history/fold/0/val_ned_loss,history/fold/0/val_cls_anc_binary_accuracy,history/fold/0/val_cls_unk_binary_accuracy,history/fold/0/lr,history/fold/avg/best/epoch,history/fold/avg/best/loss,history/fold/avg/best/cls_anc_loss,history/fold/avg/best/cls_unk_loss,history/fold/avg/best/ctr_loss,history/fold/avg/best/euc_loss,history/fold/avg/best/ned_loss,history/fold/avg/best/cls_anc_binary_accuracy,history/fold/avg/best/cls_unk_binary_accuracy,history/fold/avg/best/val_loss,history/fold/avg/best/val_cls_anc_loss,history/fold/avg/best/val_cls_unk_loss,history/fold/avg/best/val_ctr_loss,history/fold/avg/best/val_euc_loss,history/fold/avg/best/val_ned_loss,history/fold/avg/best/val_cls_anc_binary_accuracy,history/fold/avg/best/val_cls_unk_binary_accuracy,history/fold/avg/best/lr,train_eval/fold/0/loss,train_eval/fold/0/cls_anc_loss,train_eval/fold/0/cls_unk_loss,train_eval/fold/0/ctr_loss,train_eval/fold/0/euc_loss,train_eval/fold/0/ned_loss,train_eval/fold/0/cls_anc_binary_accuracy,train_eval/fold/0/cls_unk_binary_accuracy,train_eval/fold/avg/last/loss,train_eval/fold/avg/last/cls_anc_loss,train_eval/fold/avg/last/cls_unk_loss,train_eval/fold/avg/last/ctr_loss,train_eval/fold/avg/last/euc_loss,train_eval/fold/avg/last/ned_loss,train_eval/fold/avg/last/cls_anc_binary_accuracy,train_eval/fold/avg/last/cls_unk_binary_accuracy,valid_eval/fold/0/loss,valid_eval/fold/0/cls_anc_loss,valid_eval/fold/0/cls_unk_loss,valid_eval/fold/0/ctr_loss,valid_eval/fold/0/euc_loss,valid_eval/fold/0/ned_loss,valid_eval/fold/0/cls_anc_binary_accuracy,valid_eval/fold/0/cls_unk_binary_accuracy,valid_eval/fold/avg/last/loss,valid_eval/fold/avg/last/cls_anc_loss,valid_eval/fold/avg/last/cls_unk_loss,valid_eval/fold/avg/last/ctr_loss,valid_eval/fold/avg/last/euc_loss,valid_eval/fold/avg/last/ned_loss,valid_eval/fold/avg/last/cls_anc_binary_accuracy,valid_eval/fold/avg/last/cls_unk_binary_accuracy
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,1,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,3,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/0,0 days 00:19:06,8,10.908974647521973,0.5961562991142273,0.4873199164867401,9.8254976272583,5.4531660079956055,6.685625076293945,0.9399999976158142,0.8050000071525574,9.295186042785645,0.5043448805809021,0.4472566843032837,8.343585968017578,8.660857200622559,8.06146240234375,0.7900000214576721,0.8199999928474426,9.999999747378752e-05,8.0,10.908974647521973,0.5961562991142273,0.4873199164867401,9.8254976272583,5.4531660079956055,6.685625076293945,0.9399999976158142,0.8050000071525574,9.295186042785645,0.5043448805809021,0.4472566843032837,8.343585968017578,8.660857200622559,8.06146240234375,0.7900000214576721,0.8199999928474426,9.999999747378752e-05,0.19544757902622223,0.09772378951311111,0.09772378951311111,1.8056567950095208e-22,3.1361632040281725e-21,1.2642283289350125e-23,0.9968017339706421,0.9968017339706421,0.19544757902622223,0.09772378951311111,0.09772378951311111,1.8056567950095208e-22,3.1361632040281725e-21,1.2642283289350125e-23,0.9968017339706421,0.9968017339706421,0.6542712450027466,0.3271356225013733,0.3271356225013733,1.9235396248469347e-22,0.0,0.0,0.8799999952316284,0.8799999952316284,0.6542712450027466,0.3271356225013733,0.3271356225013733,1.9235396248469347e-22,0.0,0.0,0.8799999952316284,0.8799999952316284
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,0,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,3,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/5,0 days 00:19:13,14,0.8247181177139282,0.48681530356407166,0.33790287375450134,9.337190628051758,6.2952775955200195,6.949534893035889,0.9800000190734863,0.8899999856948853,0.8611166477203369,0.3828519880771637,0.47826454043388367,9.526664733886719,7.725889682769775,5.309760570526123,0.8899999856948853,0.800000011920929,8.852928294800222e-05,14.0,0.8247181177139282,0.48681530356407166,0.33790287375450134,9.337190628051758,6.2952775955200195,6.949534893035889,0.9800000190734863,0.8899999856948853,0.8611166477203369,0.3828519880771637,0.47826454043388367,9.526664733886719,7.725889682769775,5.309760570526123,0.8899999856948853,0.800000011920929,8.852928294800222e-05,0.15834571421146393,0.07917285710573196,0.07917285710573196,1.7783061670101669e-22,1.7721772857564514e-23,2.709060366777496e-24,0.9957355856895447,0.9957355856895447,0.15834571421146393,0.07917285710573196,0.07917285710573196,1.7783061670101669e-22,1.7721772857564514e-23,2.709060366777496e-24,0.9957355856895447,0.9957355856895447,0.6211003661155701,0.31055018305778503,0.31055018305778503,1.920561769593034e-22,0.0,0.0,0.8833333253860474,0.8833333253860474,0.6211003661155701,0.31055018305778503,0.31055018305778503,1.920561769593034e-22,0.0,0.0,0.8833333253860474,0.8833333253860474
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,1,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,5,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/1,0 days 00:33:13,8,10.457372665405273,0.5730888843536377,0.3002517819404602,9.584033966064453,9.824101448059082,10.009879112243652,0.9800000190734863,0.9399999976158142,9.825996398925781,0.3760727643966675,0.4950542151927948,8.95486831665039,10.881294250488281,10.841508865356445,0.8500000238418579,0.7799999713897705,9.999999747378752e-05,8.0,10.457372665405273,0.5730888843536377,0.3002517819404602,9.584033966064453,9.824101448059082,10.009879112243652,0.9800000190734863,0.9399999976158142,9.825996398925781,0.3760727643966675,0.4950542151927948,8.95486831665039,10.881294250488281,10.841508865356445,0.8500000238418579,0.7799999713897705,9.999999747378752e-05,0.12600652873516083,0.06300326436758041,0.06300326436758041,1.771173980902755e-22,1.0218240260895153e-22,8.127182678054298e-24,0.9968017339706421,0.9968017339706421,0.12600652873516083,0.06300326436758041,0.06300326436758041,1.771173980902755e-22,1.0218240260895153e-22,8.127182678054298e-24,0.9968017339706421,0.9968017339706421,0.83770352602005,0.418851763010025,0.418851763010025,1.6917360664002337e-22,0.0,0.0,0.846666693687439,0.846666693687439,0.83770352602005,0.418851763010025,0.418851763010025,1.6917360664002337e-22,0.0,0.0,0.846666693687439,0.846666693687439
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,0,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,5,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/6,0 days 00:33:33,9,0.8163378238677979,0.5418205857276917,0.2745174169540405,9.409485816955566,10.042795181274414,10.047370910644531,0.9900000095367432,0.9375,0.8387753367424011,0.36714062094688416,0.47163456678390503,9.487655639648438,10.417550086975098,10.278656959533691,0.8600000143051147,0.8224999904632568,9.999999747378752e-05,9.0,0.8163378238677979,0.5418205857276917,0.2745174169540405,9.409485816955566,10.042795181274414,10.047370910644531,0.9900000095367432,0.9375,0.8387753367424011,0.36714062094688416,0.47163456678390503,9.487655639648438,10.417550086975098,10.278656959533691,0.8600000143051147,0.8224999904632568,9.999999747378752e-05,0.10990861058235168,0.05495430529117584,0.05495430529117584,1.6845427909043216e-22,0.0,0.0,0.9978678226470947,0.9978678226470947,0.10990861058235168,0.05495430529117584,0.05495430529117584,1.6845427909043216e-22,0.0,0.0,0.9978678226470947,0.9978678226470947,0.7877217531204224,0.3938608765602112,0.3938608765602112,1.860149917946995e-22,0.0,0.0,0.8600000143051147,0.8600000143051147,0.7877217531204224,0.3938608765602112,0.3938608765602112,1.860149917946995e-22,0.0,0.0,0.8600000143051147,0.8600000143051147
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,0,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/7,0 days 00:45:45,4,0.9955217242240906,0.6511022448539734,0.34441930055618286,9.580423355102539,10.396171569824219,10.396171569824219,0.47999998927116394,0.9350000023841858,0.8318268656730652,0.376166433095932,0.455660343170166,9.648656845092773,10.36163330078125,10.188539505004883,0.8399999737739563,0.8216666579246521,9.999999747378752e-05,4.0,0.9955217242240906,0.6511022448539734,0.34441930055618286,9.580423355102539,10.396171569824219,10.396171569824219,0.47999998927116394,0.9350000023841858,0.8318268656730652,0.376166433095932,0.455660343170166,9.648656845092773,10.36163330078125,10.188539505004883,0.8399999737739563,0.8216666579246521,9.999999747378752e-05,0.0577947199344635,0.02889735996723175,0.02889735996723175,1.3988832566960752e-22,1.0326885340205812e-22,1.1739263955951865e-23,1.0,1.0,0.0577947199344635,0.02889735996723175,0.02889735996723175,1.3988832566960752e-22,1.0326885340205812e-22,1.1739263955951865e-23,1.0,1.0,0.7124115824699402,0.3562057912349701,0.3562057912349701,1.5403068319049876e-22,0.0,0.0,0.8566666841506958,0.8566666841506958,0.7124115824699402,0.3562057912349701,0.3562057912349701,1.5403068319049876e-22,0.0,0.0,0.8566666841506958,0.8566666841506958
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,1,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/2,0 days 00:46:41,2,10.759208679199219,0.6687164902687073,0.44323185086250305,9.647259712219238,10.3616304397583,10.3616304397583,0.5600000023841858,0.8366666436195374,9.94586181640625,0.4779319167137146,0.4660482704639435,9.001884460449219,11.01786994934082,10.953508377075195,0.8799999952316284,0.8349999785423279,9.999999747378752e-05,2.0,10.759208679199219,0.6687164902687073,0.44323185086250305,9.647259712219238,10.3616304397583,10.3616304397583,0.5600000023841858,0.8366666436195374,9.94586181640625,0.4779319167137146,0.4660482704639435,9.001884460449219,11.01786994934082,10.953508377075195,0.8799999952316284,0.8349999785423279,9.999999747378752e-05,0.06039276346564293,0.030196381732821465,0.030196381732821465,1.67796634152742e-22,4.2778818540563635e-24,2.2575503056479133e-24,1.0,1.0,0.06039276346564293,0.030196381732821465,0.030196381732821465,1.67796634152742e-22,4.2778818540563635e-24,2.2575503056479133e-24,1.0,1.0,0.7330259084701538,0.3665129542350769,0.3665129542350769,1.7534161539463783e-22,0.0,0.0,0.8766666650772095,0.8766666650772095,0.7330259084701538,0.3665129542350769,0.3665129542350769,1.7534161539463783e-22,0.0,0.0,0.8766666650772095,0.8766666650772095
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,0,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,9,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/8,0 days 00:59:26,11,0.619136393070221,0.48031777143478394,0.13881859183311462,10.48356819152832,9.429085731506348,9.429085731506348,1.0,0.9900000095367432,0.807620108127594,0.30247700214385986,0.5051430463790894,9.961254119873047,10.050785064697266,10.050785064697266,0.8999999761581421,0.8125,9.699999645818025e-05,11.0,0.619136393070221,0.48031777143478394,0.13881859183311462,10.48356819152832,9.429085731506348,9.429085731506348,1.0,0.9900000095367432,0.807620108127594,0.30247700214385986,0.5051430463790894,9.961254119873047,10.050785064697266,10.050785064697266,0.8999999761581421,0.8125,9.699999645818025e-05,0.0670919418334961,0.03354597091674805,0.03354597091674805,1.4884533006652552e-22,1.298515158438485e-22,1.354530341160929e-23,1.0,1.0,0.0670919418334961,0.03354597091674805,0.03354597091674805,1.4884533006652552e-22,1.298515158438485e-22,1.354530341160929e-23,1.0,1.0,0.7188766002655029,0.35943830013275146,0.35943830013275146,1.5818863649328664e-22,0.0,0.0,0.8766666650772095,0.8766666650772095,0.7188766002655029,0.35943830013275146,0.35943830013275146,1.5818863649328664e-22,0.0,0.0,0.8766666650772095,0.8766666650772095
exp,adni_av45,/home/brandon/projects/dementia/config/client-3d-raw_AV45.yml,/home/brandon/projects/dementia/exp/adni_av45/csvs/2021-12-29_16-37-22_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,1.5,"[3, 3, 3]","[2, 2, 2]",2,4,6,rnc,bnorm,leaky,softmax,32,True,2,1,0,0,1,1,"186,305",,encoder_classifier,1,sce,dice,0,1,9,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni_av45/logs/2021-12-29_16-37-22_PST/3,0 days 00:59:39,12,10.191993713378906,0.46941375732421875,0.12086839973926544,9.601710319519043,10.36163330078125,10.36163330078125,1.0,0.9950000047683716,9.776488304138184,0.5129347443580627,0.49032488465309143,8.773229598999023,11.26827621459961,11.26827621459961,0.800000011920929,0.8174999952316284,9.408999903826043e-05,12.0,10.191993713378906,0.46941375732421875,0.12086839973926544,9.601710319519043,10.36163330078125,10.36163330078125,1.0,0.9950000047683716,9.776488304138184,0.5129347443580627,0.49032488465309143,8.773229598999023,11.26827621459961,11.26827621459961,0.800000011920929,0.8174999952316284,9.408999903826043e-05,0.058779217302799225,0.029389608651399612,0.029389608651399612,1.5198605669836177e-22,4.679851686996338e-23,2.2575503056479133e-24,1.0,1.0,0.058779217302799225,0.029389608651399612,0.029389608651399612,1.5198605669836177e-22,4.679851686996338e-23,2.2575503056479133e-24,1.0,1.0,0.7025864720344543,0.3512932360172272,0.3512932360172272,1.6719250553886201e-22,0.0,0.0,0.8799999952316284,0.8799999952316284,0.7025864720344543,0.3512932360172272,0.3512932360172272,1.6719250553886201e-22,0.0,0.0,0.8799999952316284,0.8799999952316284
