env/path/root,env/path/name,env/path/client,env/path/param_csv,model/model,model/conv_type,model/pool_type,model/eblock,model/elayer,model/dblock,model/depth,model/width,model/width_scaling,model/kernel_size,model/strides,model/bneck,model/branches,model/order,model/norm,model/activ,model/attn_msk,model/embed,model/loss_weights/ctr,model/loss_weights/euc,model/loss_weights/ned,model/loss_weights/cls_anc,model/loss_weights/cls_unk,model/num_params,train/xs/dat,train/ys/lbl/head,train/ys/lbl/n_classes,train/ys/lbl/loss,train/ys/lbl/metric,train/trainer/seed,train/trainer/n_folds,train/trainer/batch_size,train/trainer/iters,train/trainer/steps,train/trainer/valid_freq,train/trainer/lr,train/trainer/lr_alpha,train/trainer/lr_decay,train/trainer/contrastive_scale,train/trainer/callbacks,train/trainer/log_dir,train/trainer/train_time,history/fold/0/epoch,history/fold/0/loss,history/fold/0/cls_anc_loss,history/fold/0/cls_unk_loss,history/fold/0/ctr_loss,history/fold/0/euc_loss,history/fold/0/ned_loss,history/fold/0/cls_anc_binary_accuracy,history/fold/0/cls_unk_binary_accuracy,history/fold/0/val_loss,history/fold/0/val_cls_anc_loss,history/fold/0/val_cls_unk_loss,history/fold/0/val_ctr_loss,history/fold/0/val_euc_loss,history/fold/0/val_ned_loss,history/fold/0/val_cls_anc_binary_accuracy,history/fold/0/val_cls_unk_binary_accuracy,history/fold/0/lr,history/fold/avg/best/epoch,history/fold/avg/best/loss,history/fold/avg/best/cls_anc_loss,history/fold/avg/best/cls_unk_loss,history/fold/avg/best/ctr_loss,history/fold/avg/best/euc_loss,history/fold/avg/best/ned_loss,history/fold/avg/best/cls_anc_binary_accuracy,history/fold/avg/best/cls_unk_binary_accuracy,history/fold/avg/best/val_loss,history/fold/avg/best/val_cls_anc_loss,history/fold/avg/best/val_cls_unk_loss,history/fold/avg/best/val_ctr_loss,history/fold/avg/best/val_euc_loss,history/fold/avg/best/val_ned_loss,history/fold/avg/best/val_cls_anc_binary_accuracy,history/fold/avg/best/val_cls_unk_binary_accuracy,history/fold/avg/best/lr,train_eval/fold/0/loss,train_eval/fold/0/cls_anc_loss,train_eval/fold/0/cls_unk_loss,train_eval/fold/0/ctr_loss,train_eval/fold/0/euc_loss,train_eval/fold/0/ned_loss,train_eval/fold/0/cls_anc_binary_accuracy,train_eval/fold/0/cls_unk_binary_accuracy,train_eval/fold/avg/last/loss,train_eval/fold/avg/last/cls_anc_loss,train_eval/fold/avg/last/cls_unk_loss,train_eval/fold/avg/last/ctr_loss,train_eval/fold/avg/last/euc_loss,train_eval/fold/avg/last/ned_loss,train_eval/fold/avg/last/cls_anc_binary_accuracy,train_eval/fold/avg/last/cls_unk_binary_accuracy,valid_eval/fold/0/loss,valid_eval/fold/0/cls_anc_loss,valid_eval/fold/0/cls_unk_loss,valid_eval/fold/0/ctr_loss,valid_eval/fold/0/euc_loss,valid_eval/fold/0/ned_loss,valid_eval/fold/0/cls_anc_binary_accuracy,valid_eval/fold/0/cls_unk_binary_accuracy,valid_eval/fold/avg/last/loss,valid_eval/fold/avg/last/cls_anc_loss,valid_eval/fold/avg/last/cls_unk_loss,valid_eval/fold/avg/last/ctr_loss,valid_eval/fold/avg/last/euc_loss,valid_eval/fold/avg/last/ned_loss,valid_eval/fold/avg/last/cls_anc_binary_accuracy,valid_eval/fold/avg/last/cls_unk_binary_accuracy
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,32,1,1,1,1,1,"3,551,505",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/3,0 days 00:53:43,15,2.204373836517334,0.5848528146743774,0.5798490643501282,0.5099999904632568,0.26384612917900085,0.26582586765289307,0.9300000071525574,0.9100000262260437,2.2845957279205322,0.6162856817245483,0.6307697892189026,0.5016666650772095,0.2593689560890198,0.2765045166015625,0.7900000214576721,0.7400000095367432,8.587340562371537e-05,15.0,2.204373836517334,0.5848528146743774,0.5798490643501282,0.5099999904632568,0.26384612917900085,0.26582586765289307,0.9300000071525574,0.9100000262260437,2.2845957279205322,0.6162856817245483,0.6307697892189026,0.5016666650772095,0.2593689560890198,0.2765045166015625,0.7900000214576721,0.7400000095367432,8.587340562371537e-05,1.0936000347137451,0.5468000173568726,0.5468000173568726,2.6258300885755904e-15,2.7970735219121307e-17,3.442551794721912e-18,0.9622092843055725,0.9622092843055725,1.0936000347137451,0.5468000173568726,0.5468000173568726,2.6258300885755904e-15,2.7970735219121307e-17,3.442551794721912e-18,0.9622092843055725,0.9622092843055725,1.1851335763931274,0.5925667881965637,0.5925667881965637,2.6524415344377156e-15,0.0,0.0,0.8430493474006653,0.8430493474006653,1.1851335763931274,0.5925667881965637,0.5925667881965637,2.6524415344377156e-15,0.0,0.0,0.8430493474006653,0.8430493474006653
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,64,1,0,0,1,1,"3,559,761",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/4,0 days 00:53:47,4,1.2744325399398804,0.4801952540874481,0.2759038209915161,0.5183333158493042,11.568777084350586,6.513862133026123,0.9399999976158142,0.8983333110809326,1.278043270111084,0.34099626541137695,0.44371387362480164,0.4933333396911621,19.972700119018555,6.35360050201416,0.8299999833106995,0.8116666674613953,9.999999747378752e-05,4.0,1.2744325399398804,0.4801952540874481,0.2759038209915161,0.5183333158493042,11.568777084350586,6.513862133026123,0.9399999976158142,0.8983333110809326,1.278043270111084,0.34099626541137695,0.44371387362480164,0.4933333396911621,19.972700119018555,6.35360050201416,0.8299999833106995,0.8116666674613953,9.999999747378752e-05,0.02152220532298088,0.01076110266149044,0.01076110266149044,2.5129159380253823e-15,2.99152422863534e-16,2.5819139184197375e-17,0.9990310072898865,0.9990310072898865,0.02152220532298088,0.01076110266149044,0.01076110266149044,2.5129159380253823e-15,2.99152422863534e-16,2.5819139184197375e-17,0.9990310072898865,0.9990310072898865,0.9531816840171814,0.4765908420085907,0.4765908420085907,2.6780888450476286e-15,0.0,0.0,0.8370702266693115,0.8370702266693115,0.9531816840171814,0.4765908420085907,0.4765908420085907,2.6780888450476286e-15,0.0,0.0,0.8370702266693115,0.8370702266693115
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,64,0,0,1,1,1,"3,559,761",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/6,0 days 00:54:18,19,0.9331853985786438,0.22099779546260834,0.42957744002342224,0.5149999856948853,3.498286247253418,0.2826102077960968,0.9700000286102295,0.92166668176651,1.3438823223114014,0.5283689498901367,0.5359689593315125,0.5083333253860474,1.095832347869873,0.27954426407814026,0.7900000214576721,0.7699999809265137,7.602310506626964e-05,19.0,0.9331853985786438,0.22099779546260834,0.42957744002342224,0.5149999856948853,3.498286247253418,0.2826102077960968,0.9700000286102295,0.92166668176651,1.3438823223114014,0.5283689498901367,0.5359689593315125,0.5083333253860474,1.095832347869873,0.27954426407814026,0.7900000214576721,0.7699999809265137,7.602310506626964e-05,0.7653809189796448,0.3826904594898224,0.3826904594898224,2.6094620239028483e-15,7.272391289320438e-17,1.032765435018997e-17,0.9806201457977295,0.9806201457977295,0.7653809189796448,0.3826904594898224,0.3826904594898224,2.6094620239028483e-15,7.272391289320438e-17,1.032765435018997e-17,0.9806201457977295,0.9806201457977295,0.9908244013786316,0.4954122006893158,0.4954122006893158,2.6711630801544038e-15,0.0,0.0,0.8206278085708618,0.8206278085708618,0.9908244013786316,0.4954122006893158,0.4954122006893158,2.6711630801544038e-15,0.0,0.0,0.8206278085708618,0.8206278085708618
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,128,0,1,0,1,1,"3,576,273",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/13,0 days 00:55:01,7,1.46483314037323,0.6217869520187378,0.5835447311401367,0.5133333206176758,0.25950145721435547,0.25731128454208374,0.800000011920929,0.8700000047683716,1.4925687313079834,0.6185252666473389,0.6260368824005127,0.5183333158493042,0.24800652265548706,0.28862515091896057,0.8700000047683716,0.7866666913032532,9.999999747378752e-05,7.0,1.46483314037323,0.6217869520187378,0.5835447311401367,0.5133333206176758,0.25950145721435547,0.25731128454208374,0.800000011920929,0.8700000047683716,1.4925687313079834,0.6185252666473389,0.6260368824005127,0.5183333158493042,0.24800652265548706,0.28862515091896057,0.8700000047683716,0.7866666913032532,9.999999747378752e-05,1.0796180963516235,0.5398090481758118,0.5398090481758118,2.5686041191426163e-15,9.294890238659953e-17,2.754041601213652e-17,0.9593023061752319,0.9593023061752319,1.0796180963516235,0.5398090481758118,0.5398090481758118,2.5686041191426163e-15,9.294890238659953e-17,2.754041601213652e-17,0.9593023061752319,0.9593023061752319,1.1690341234207153,0.5845170617103577,0.5845170617103577,2.569587100877905e-15,0.0,0.0,0.828101634979248,0.828101634979248,1.1690341234207153,0.5845170617103577,0.5845170617103577,2.569587100877905e-15,0.0,0.0,0.828101634979248,0.828101634979248
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,32,1,0,0,1,1,"3,551,505",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/0,0 days 00:55:17,7,1.0924677848815918,0.39063653349876404,0.18849778175354004,0.5133333206176758,12.514796257019043,5.54854679107666,0.9599999785423279,0.9433333277702332,1.3806294202804565,0.311890572309494,0.5504058003425598,0.5183333158493042,20.937759399414062,5.407666206359863,0.8600000143051147,0.7833333611488342,9.999999747378752e-05,7.0,1.0924677848815918,0.39063653349876404,0.18849778175354004,0.5133333206176758,12.514796257019043,5.54854679107666,0.9599999785423279,0.9433333277702332,1.3806294202804565,0.311890572309494,0.5504058003425598,0.5183333158493042,20.937759399414062,5.407666206359863,0.8600000143051147,0.7833333611488342,9.999999747378752e-05,0.04987240582704544,0.02493620291352272,0.02493620291352272,2.0932312296933738e-15,6.438648156659659e-17,1.5491484834007405e-17,0.9995155334472656,0.9995155334472656,0.04987240582704544,0.02493620291352272,0.02493620291352272,2.0932312296933738e-15,6.438648156659659e-17,1.5491484834007405e-17,0.9995155334472656,0.9995155334472656,0.8227285146713257,0.41136425733566284,0.41136425733566284,2.4944753954889458e-15,0.0,0.0,0.8445441126823425,0.8445441126823425,0.8227285146713257,0.41136425733566284,0.41136425733566284,2.4944753954889458e-15,0.0,0.0,0.8445441126823425,0.8445441126823425
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,96,1,0,0,1,1,"3,568,017",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/8,0 days 00:55:07,4,1.236243486404419,0.4562143385410309,0.2616957724094391,0.5183333158493042,13.3640775680542,7.696203708648682,0.9100000262260437,0.9066666960716248,1.215195655822754,0.33375412225723267,0.3881080746650696,0.4933333396911621,20.974992752075195,7.448033809661865,0.8299999833106995,0.8366666436195374,9.999999747378752e-05,4.0,1.236243486404419,0.4562143385410309,0.2616957724094391,0.5183333158493042,13.3640775680542,7.696203708648682,0.9100000262260437,0.9066666960716248,1.215195655822754,0.33375412225723267,0.3881080746650696,0.4933333396911621,20.974992752075195,7.448033809661865,0.8299999833106995,0.8366666436195374,9.999999747378752e-05,0.015923568978905678,0.007961784489452839,0.007961784489452839,2.7405321139192156e-15,1.724503494072592e-16,4.131061740075988e-17,0.9990310072898865,0.9990310072898865,0.015923568978905678,0.007961784489452839,0.007961784489452839,2.7405321139192156e-15,1.724503494072592e-16,4.131061740075988e-17,0.9990310072898865,0.9990310072898865,0.9895881414413452,0.4947940707206726,0.4947940707206726,2.758298206471401e-15,0.0,0.0,0.8266068696975708,0.8266068696975708,0.9895881414413452,0.4947940707206726,0.4947940707206726,2.758298206471401e-15,0.0,0.0,0.8266068696975708,0.8266068696975708
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,64,1,1,1,1,1,"3,559,761",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/7,0 days 00:55:11,19,2.1699864864349365,0.5644607543945312,0.5685533881187439,0.5149999856948853,0.26141953468322754,0.2605527341365814,0.9800000190734863,0.9549999833106995,2.2977347373962402,0.6250566244125366,0.6341603398323059,0.5083333253860474,0.2581283450126648,0.27205637097358704,0.7300000190734863,0.7166666388511658,7.602310506626964e-05,19.0,2.1699864864349365,0.5644607543945312,0.5685533881187439,0.5149999856948853,0.26141953468322754,0.2605527341365814,0.9800000190734863,0.9549999833106995,2.2977347373962402,0.6250566244125366,0.6341603398323059,0.5083333253860474,0.2581283450126648,0.27205637097358704,0.7300000190734863,0.7166666388511658,7.602310506626964e-05,1.0888673067092896,0.5444336533546448,0.5444336533546448,2.6072449151634102e-15,2.2376588837041535e-17,1.2048931178129115e-17,0.9675387740135193,0.9675387740135193,1.0888673067092896,0.5444336533546448,0.5444336533546448,2.6072449151634102e-15,2.2376588837041535e-17,1.2048931178129115e-17,0.9675387740135193,0.9675387740135193,1.1875606775283813,0.5937803387641907,0.5937803387641907,2.6206278239717913e-15,0.0,0.0,0.8221225738525391,0.8221225738525391,1.1875606775283813,0.5937803387641907,0.5937803387641907,2.6206278239717913e-15,0.0,0.0,0.8221225738525391,0.8221225738525391
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,128,0,0,1,1,1,"3,576,273",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/14,0 days 00:55:22,19,0.8706902265548706,0.16610988974571228,0.42256829142570496,0.5149999856948853,4.874093055725098,0.2820121943950653,0.9900000095367432,0.9116666913032532,1.379632592201233,0.5524904131889343,0.5591855645179749,0.5083333253860474,0.8655821681022644,0.2679561972618103,0.8100000023841858,0.7699999809265137,7.602310506626964e-05,19.0,0.8706902265548706,0.16610988974571228,0.42256829142570496,0.5149999856948853,4.874093055725098,0.2820121943950653,0.9900000095367432,0.9116666913032532,1.379632592201233,0.5524904131889343,0.5591855645179749,0.5083333253860474,0.8655821681022644,0.2679561972618103,0.8100000023841858,0.7699999809265137,7.602310506626964e-05,0.8496809601783752,0.4248404800891876,0.4248404800891876,2.590497803246772e-15,9.38095408005691e-17,2.9261692840075665e-17,0.9699612259864807,0.9699612259864807,0.8496809601783752,0.4248404800891876,0.4248404800891876,2.590497803246772e-15,9.38095408005691e-17,2.9261692840075665e-17,0.9699612259864807,0.9699612259864807,1.0923349857330322,0.5461674928665161,0.5461674928665161,2.612542894490249e-15,0.0,0.0,0.7862481474876404,0.7862481474876404,1.0923349857330322,0.5461674928665161,0.5461674928665161,2.612542894490249e-15,0.0,0.0,0.7862481474876404,0.7862481474876404
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,96,1,1,1,1,1,"3,568,017",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/11,0 days 00:55:43,13,2.205258369445801,0.5963544845581055,0.5955901145935059,0.49000000953674316,0.2631538212299347,0.2601601183414459,0.8500000238418579,0.8550000190734863,2.288015842437744,0.6381492614746094,0.6217296719551086,0.4933333396911621,0.2677392065525055,0.2670648694038391,0.7099999785423279,0.8016666769981384,9.126729855779558e-05,13.0,2.205258369445801,0.5963544845581055,0.5955901145935059,0.49000000953674316,0.2631538212299347,0.2601601183414459,0.8500000238418579,0.8550000190734863,2.288015842437744,0.6381492614746094,0.6217296719551086,0.4933333396911621,0.2677392065525055,0.2670648694038391,0.7099999785423279,0.8016666769981384,9.126729855779558e-05,1.0902745723724365,0.5451372861862183,0.5451372861862183,2.5540813157454677e-15,9.208825735518506e-17,3.6146790225664895e-17,0.9573643207550049,0.9573643207550049,1.0902745723724365,0.5451372861862183,0.5451372861862183,2.5540813157454677e-15,9.208825735518506e-17,3.6146790225664895e-17,0.9573643207550049,0.9573643207550049,1.1778181791305542,0.5889090895652771,0.5889090895652771,2.5733030344175095e-15,0.0,0.0,0.8146487474441528,0.8146487474441528,1.1778181791305542,0.5889090895652771,0.5889090895652771,2.5733030344175095e-15,0.0,0.0,0.8146487474441528,0.8146487474441528
exp,adni,/home/mmorelan/proj/brain/dementia/yml/orig/client-3d-raw.yml,/home/brandon/projects/dementia/exp/adni/csvs/2021-12-29_00-33-13_PST_hyper.csv,ae,conv,conv,conv,1,conv,6,4,2,"[3, 3, 3]","[2, 2, 2]",2,4,rnc,bnorm,leaky,softmax,96,0,1,0,1,1,"3,568,017",,encoder_classifier,1,sce,dice,0,1,7,2000,100,1,0.0001,0.25,0.97,5,"['checkpoint', 'lr_scheduler', 'tensorboard', 'hparams']",/home/brandon/projects/dementia/exp/adni/logs/2021-12-29_00-33-13_PST/9,0 days 00:56:11,7,1.4632903337478638,0.6179550886154175,0.5849566459655762,0.5133333206176758,0.26037847995758057,0.26094892621040344,0.8299999833106995,0.8633333444595337,1.491430401802063,0.6114619374275208,0.6268013119697571,0.5183333158493042,0.25316715240478516,0.2864658832550049,0.8899999856948853,0.7749999761581421,9.999999747378752e-05,7.0,1.4632903337478638,0.6179550886154175,0.5849566459655762,0.5133333206176758,0.26037847995758057,0.26094892621040344,0.8299999833106995,0.8633333444595337,1.491430401802063,0.6114619374275208,0.6268013119697571,0.5183333158493042,0.25316715240478516,0.2864658832550049,0.8899999856948853,0.7749999761581421,9.999999747378752e-05,1.0702052116394043,0.5351026058197021,0.5351026058197021,2.540451285074725e-15,5.809306647316654e-17,3.2704239878509055e-17,0.9893410801887512,0.9893410801887512,1.0702052116394043,0.5351026058197021,0.5351026058197021,2.540451285074725e-15,5.809306647316654e-17,3.2704239878509055e-17,0.9893410801887512,0.9893410801887512,1.1741631031036377,0.5870815515518188,0.5870815515518188,2.558993683323069e-15,0.0,0.0,0.847533643245697,0.847533643245697,1.1741631031036377,0.5870815515518188,0.5870815515518188,2.558993683323069e-15,0.0,0.0,0.847533643245697,0.847533643245697
